Country,Year,GHG_emissions,CO2_emissions,CH4_emissions,NO2_emissions,GDP,Final_EI,Fuel_mix,Carbon_intensity,Renewables_share,Envt_taxes,Liquid_biofuels,Solar_thermal,Heat_pumps
Portugal,2016,66022.58,50612.32,9142.25,3165.76,186489.8,69.47,0.08,85,30.868,4819.31,772.879,1176,9302.101
Portugal,2017,70638.91,54911.85,9168.2,3249.92,195947.2,69.71,0.07,88.1,30.614,5051.86,772.879,1231.105,9609.234
Portugal,2018,67416.79,51619,9126.42,3216.74,205184.1,68.1,0.06,85.4,30.206,5271.9,772.879,1288.104,10000.536
Romania,2010,124173.34,84289.72,31036.71,7792.69,125472.3,85.54,2.43,90.7,22.834,2650.8,0,104,0
Romania,2011,129010.35,89518.25,30199,8138.51,131841.6,83.44,3.49,93.4,21.186,2573.54,0,105,0
Romania,2012,125638.73,86255.69,30694.1,7431.57,132711.2,79.68,3.39,92.8,22.825,2667.42,295.5,110,0
Romania,2013,116001,76875.89,30158.62,7602.83,143690.4,75.04,3.19,91.8,23.886,2957.37,295.5,129,0
Romania,2014,116214.83,77432.42,30026.69,7322.68,150708.6,71.55,3.11,92,24.845,3587.48,295.5,143,0
Romania,2015,116418.66,77725.63,29544.31,7450.66,160149.8,68.03,3.6,90.8,24.785,3951.96,280,159,0
Romania,2016,114287.85,75812.8,29011.8,7512.6,170063.4,64.97,3.32,88.4,25.032,4085.39,280,174,0
Romania,2017,116875.47,78077.49,28706.54,7852.58,187772.7,62.64,2.73,86.2,24.454,3640.25,280,189,0
Romania,2018,116115.12,76951.22,28183.63,8618.21,204496.9,59.97,2.63,84.3,23.875,4033.41,280,189,0
Slovenia,2010,19555.22,16376.44,2157.64,735.56,36363.9,116.91,0.97,96.5,21.08,1309.93,25,178.433,0
Slovenia,2011,19565.61,16360.3,2149.57,747.13,37058.6,113.8,1.07,96.7,20.936,1276.31,25,192.939,0
Slovenia,2012,19004.84,15821.76,2103.53,750.22,36253.3,108.48,1.04,97.1,21.549,1388.87,25,212.33,0
Slovenia,2013,18307.64,15188.91,2047.63,722.45,36454.3,105.79,1,95.1,23.161,1427.96,25,220.461,0
Slovenia,2014,16575.01,13531.94,1946.78,730.36,37634.3,98,0.99,86.7,22.461,1452.67,0,221.86,0
Slovenia,2015,16750.9,13617.54,2003.6,752.78,38852.6,95.78,0.83,88.4,22.88,1509.4,0,223.88,0
Slovenia,2016,17607.61,14416.66,2041.54,760.72,40443.2,97.86,0.74,91,21.977,1563.49,0,225.653,0
Slovenia,2017,17366.76,14264.75,1994.41,735.2,43009.1,94.74,0.78,87,21.658,1601.81,0,225.32,0
Slovenia,2018,17502.14,14487.84,1936.16,753.48,45862.6,89.68,0.83,88.8,21.378,1609.04,0,224.812,0
Slovakia,2010,46405.54,38523.22,4797.65,2442.79,68188.7,110.65,6.86,90.4,9.099,1419.64,241,123,0
Slovakia,2011,45704.01,38111.95,4862.48,2083.65,71304.5,101.65,7.43,91.9,10.348,1726.98,274,146,0
Slovakia,2012,43185.82,36021.18,4480.39,2009.15,73575.8,93.43,5.33,88,10.453,1743.9,223,154,0
Slovakia,2013,42855.65,35577.84,4604.27,1994.54,74448.8,95.16,5.43,86.6,10.133,1872.7,262,160,0
Slovakia,2014,40791.62,33654.5,4341.75,2116.21,76269.8,86.31,5.13,84.7,11.713,1932.31,236,166,0
Slovakia,2015,41830.67,34484.24,4530.99,2057.75,79767.6,82.78,4.93,84.6,12.883,1997.55,289,171,0
Slovakia,2016,42316.79,34921.79,4578.92,2130.4,81051.5,90.36,4.03,84.9,12.029,2019.35,243,177,0
Slovakia,2017,43475.29,36087.34,4616.36,2016.83,84532.2,96.93,4.1,83.2,11.465,2149.02,243,201,0
Slovakia,2018,43348.35,36087.84,4442.03,2098.54,89505.5,93.48,4.29,83.6,11.896,2202.67,251,206,0
Finland,2010,75718.95,64168.66,5354.96,4808.35,188143,163.86,0.88,99.9,32.294,4960.9,405,31,0
Finland,2011,67965.06,56731.3,5183.2,4668.63,197998,150.28,0.89,90.9,32.664,5908.19,412,34,0
Finland,2012,62480.91,51283.81,5128.19,4660.7,201037,150.63,0.44,84.9,34.341,5911.96,415,37,0
Finland,2013,62916.01,51810.61,4989.56,4699.46,204321,148.94,0.45,87.3,36.728,5959.06,445,41,0
Finland,2014,58755.76,47699.55,4892.21,4759.14,206897,145.68,0.44,78.7,38.78,5918.03,445,45,0
Finland,2015,55140.79,44168.26,4856.62,4764.81,211385,138.22,0.47,75.8,39.321,6032.6,571,50,0
Finland,2016,58094.44,47282.35,4728.34,4777.34,217518,142.83,0.58,78.2,39.013,6655.26,571,55,0
Finland,2017,55389.67,44726.01,4605.28,4819.6,226301,138.01,0.55,73.1,40.917,6678.08,591,60,0
Finland,2018,56411.26,45901.54,4540.85,4768.97,233696,136.09,0.51,73.6,41.16,6816.39,607,66,0
Sweden,2010,64467.31,53042.22,5216.54,4823.49,374695.2,112.2,1.14,91,46.595,9452.99,539.438,510,0
Sweden,2011,60131.47,49166.9,5066,4522.11,412844.7,102.18,1.3,83.2,48.135,9618.82,358.405,446,8460
Sweden,2012,57294.3,46692.01,4899.56,4483,430037.1,99.7,1.24,79,50.027,9939.57,596.2399999999999,322,8880
Sweden,2013,55607.71,45086.34,4828.16,4523.2,441850.7,97.94,1.17,77.1,50.792,9971.1,621.3989999999999,475,9160
Sweden,2014,53846.36,43337.56,4701.77,4576.55,438833.9,92.48,1.19,74.9,51.817,9277.79,490.024,475,9250
Sweden,2015,53739.18,43336.76,4595.54,4597.77,455494.7,87.9,1.24,78.6,52.947,9558.77,570.813,478,9250
Sweden,2016,53285.94,42972.57,4510.99,4576.74,466266.5,90.33,1.16,73.5,53.328,9981.52,395.692,475,10670
Sweden,2017,52715.03,42306.82,4470.49,4757.28,480025.5,87.82,1.17,71,54.157,9864.25,385,472,10670
Sweden,2018,51779.24,41766.18,4380.55,4503.64,470673.1,85,1.17,69.2,54.651,9442.11,746,466,11280
Iceland,2010,4928.92,3660.12,681.86,305.51,10383.4,268.58,3.58,56.6,70.975,223.28,0,0,0
Iceland,2011,4680.96,3510.64,660.19,302.1,10934.3,274,3.6,49,72.36,237.97,0.015,0,0
Iceland,2012,4683.54,3502.89,633.43,307.15,11479.9,274.92,3.56,48.7,73.834,261.31,0.067,0,0
Iceland,2013,4688.54,3492.77,638.58,302.44,12132.9,274.47,3.61,45.7,73.894,258.24,0.073,0,0
Iceland,2014,4722.1,3469.68,650.42,331.04,13472.6,261.15,3.17,46,73.079,285.75,0.073,0,0
Iceland,2015,4799.81,3545.26,656.43,313.2,15795.3,253.31,3.26,48.5,71.518,336.89,0,0,0
Iceland,2016,4754.6,3497.54,647.9,311.48,18804.2,241.84,0,49.7,74.824,385.34,0,0,0
Iceland,2017,4835.51,3614.87,637.05,322.36,21917.7,239.4,0,47.8,73.487,482.13,0,0,0
Iceland,2018,4856.95,3674.53,630.02,305.47,22207.3,246.7,0,44.4,76.69,470.25,0,0,0
Liechtenstein,2010,229.02,190.81,19.11,9.29,NA,NA,NA,NA,NA,33.86,NA,NA,NA
Liechtenstein,2011,215.97,176.78,19.47,9.67,NA,NA,NA,NA,NA,39.24,NA,NA,NA
Liechtenstein,2012,225.2,185.31,19.92,9.53,NA,NA,NA,NA,NA,38.7,NA,NA,NA
Liechtenstein,2013,231.77,192.54,19.11,9.24,4812.4,NA,NA,NA,NA,37.13,NA,NA,NA
Liechtenstein,2014,199.73,161.24,18.55,9.13,5021.7,NA,NA,NA,NA,41.78,NA,NA,NA
Liechtenstein,2015,197.79,159.71,18.38,9.18,5649.1,NA,NA,NA,NA,46.95,NA,NA,NA
Liechtenstein,2016,187.99,149.88,18.49,9.02,5637.7,NA,NA,NA,NA,46.26,NA,NA,NA
Liechtenstein,2017,194,156.28,17.99,8.97,5804.3,NA,NA,NA,NA,47.07,NA,NA,NA
Liechtenstein,2018,181.08,143.75,18.17,9.13,5822.5,NA,NA,NA,NA,43.56,NA,NA,NA
Norway,2010,55468.97,46231.65,5389.77,2474.66,323760.9,90.91,2.53,86.3,60.349,8595.75,0,0,4090
Norway,2011,54643.09,45513.36,5236.98,2469.03,358339.5,81.46,2.36,97.7,63.56,8916.01,0,0,4654
Norway,2012,54121.12,45038.31,5212.15,2474.06,396523.5,77.43,2.49,95.3,64.459,9265.83,0,0,5077
Norway,2013,53969.36,44982.4,5146.7,2446.84,393408.7,76.01,2.48,82.5,65.728,9323.02,0,0,5444
Norway,2014,53930.25,44916.61,5087.82,2454.43,375947.3,74.11,2.53,93.8,68.213,8751.68,0,0,5758
Norway,2015,54353.97,45350.5,5055.27,2491.42,347632.1,79.4,2.5,92.4,68.212,8186.4,0,0,6071
Norway,2016,53472.21,44472.73,4949.49,2424.1,333471.3,85.73,2.75,93.5,69.065,8044.15,120,0,6395
Norway,2017,52386.53,43562.54,4867.32,2380.63,353316.4,79.5,2.65,86.9,70.595,8123.51,120,0,6724
Norway,2018,52022.4,43817.66,4804.55,2349.12,370294.3,74.27,2.43,86.4,71.803,8106.28,120,0,7155
Switzerland,2010,54843.42,45166.25,5154.27,3012.86,455933.7,NA,NA,NA,NA,6352.3,NA,NA,NA
Switzerland,2011,50730.84,41100.53,5099.14,2941.78,520201.4,NA,NA,NA,NA,7010.77,NA,NA,NA
Switzerland,2012,52151.31,42368.61,5070.77,3001.28,538439,NA,NA,NA,NA,7273.62,NA,NA,NA
Switzerland,2013,52927.58,43296.93,5006.73,2901.27,536632.9,NA,NA,NA,NA,7089.36,NA,NA,NA
Switzerland,2014,48983.62,39340.66,5003.62,2881.23,553942.2,NA,NA,NA,NA,7314.94,NA,NA,NA
Switzerland,2015,48514.86,38835.55,4974.09,2910.24,632770.5,NA,NA,NA,NA,8502.46,NA,NA,NA
Switzerland,2016,48823.14,39290.44,4930.19,2889,628729.6,NA,NA,NA,NA,8679.54,NA,NA,NA
Switzerland,2017,47971.62,38280.7,4868.49,3082.52,623994,NA,NA,NA,NA,8642.14,NA,NA,NA
Switzerland,2018,46431.44,36994.42,4839.99,2879.65,623042.2,NA,NA,NA,NA,8700.16,NA,NA,NA
United Kingdom,2010,610563.41,509701.69,63767.39,19738.18,1872175.5,81.76,1.81,98.2,3.862,46013.25,882.068,1038,18616.604000000003
United Kingdom,2011,563345.52,467438.78,61094.11,18950.89,1912869.3,74.51,1.82,97,4.392,46561.74,879.3979999999999,1173,19861.748
United Kingdom,2012,580018.77,485386.1,59596.53,18818.66,2111028.9,73.63,1.8,98.7,4.461,51005.7,1226.83,1252,21167.387
United Kingdom,2013,566328.46,475451.83,55604.01,18748.56,2096338,72.75,2.18,97.7,5.524,50929.05,1247.4099999999999,1307,22696.891
United Kingdom,2014,526081.1,436593.78,53487.09,19339.65,2311080.2,66.14,2.26,94.8,6.737,55785.74,1157.141,1352,24189.318
United Kingdom,2015,508305.84,420098.22,52693.66,18846.85,2644716.5,63.63,1.91,89.6,8.385,63868.08,1005.297,1383,25828.608
United Kingdom,2016,482674.84,396826.98,51113.74,18776.56,2434119.2,64.64,1.68,86,9.032,58326.01,1203.709,1400,25411.351
United Kingdom,2017,471479.33,385718.09,51537.33,19139.87,2359789.9,63.19,1.55,84.3,9.858,55848.83,1331.211,1428,25390.233
United Kingdom,2018,462102.32,377708.76,51514.3,19043.41,2420897.2,62.41,1.39,82.9,11.138,56737.23,1298.324,1443,25708.862999999998
Turkey,2010,398882.58,314380.03,51319.22,29601.83,584855.7,76.94,19.71,97.4,NA,22340.66,812.2,12350,0
Turkey,2011,427830.53,339482.25,53694.48,30673.42,600961.4,72.37,17.23,97.9,NA,21403.55,561.217,18000,0
Turkey,2012,447254.81,353666.21,57091.96,31812.16,683587.3,70.8,17.21,97.3,NA,23148.97,457.476,18000,0
Turkey,2013,439325.69,345220.58,55469.06,33826.18,719726.6,65.66,13.56,96.5,NA,26024.25,0,19300,0
Turkey,2014,458368.97,361675.46,57304.73,34280.03,707000.8,62.76,13.31,95.3,NA,23839.13,0,19490,0
Turkey,2015,472595.01,381331.94,51359.76,35025.53,777042.3,61.23,13.13,92.1,NA,26459.69,0,19690,0
Turkey,2016,497741.9,401239.74,53858.25,37403.48,785618.9,63.75,13.23,92.1,NA,26534.3,0,20080,0
Turkey,2017,523752.84,425329.23,54231.17,38841.75,760497.1,67.61,11.74,90.3,NA,24392.9,0,20000,0
Turkey,2018,520941.59,419194.75,57576.12,38923.81,658464.1,66.44,9.79,90.1,NA,15967.52,0,20200,0
